abdomen	stomach
abeyance	waiting
abhor	hate
abhorred	hated
abhorring	hating
abhors	hates
abundant	enough
academies	schools
academy	school
academy's	school's
acceptable	welcome
accommodate	fit
accommodated	fitted
accommodates	fits
accommodating	fitting
accomplish	do
accomplished	did
accomplishing	doing
accorded	given
accordingly	so
accrue	add
accrued	added
accrues	adds
accruing	adding
accumulate	collect
accumulated	collected
accumulates	collects
accumulating	collecting
accurate	exact
accurately	exactly
accusation	charge
accusations	charges
achieve	do
achieved	did
achieves	does
achieving	doing
acquaintance	friend
acquaintance's	friend's
acquaintances	friends
acquiesce	agree
acquiesced	agreed
acquiesces	agrees
acquiescing	agreeing
acquire	get
acquired	got
acquires	gets
acquiring	getting
acrimonious	sharp
actual	real
actually	really
actuate	move
actuated	moved
actuates	moves
actuating	moving
adamant	hard
additional	added
additionally	added
adequate	enough
adhere	follow
adhered	followed
adheres	follows
adhering	following
adversaries	enemies
adversary	enemy
adversary's	enemy's
advise	tell
advised	told
advises	tells
advising	telling
affectionate	loving
affix	put
affixed	put
affixes	puts
affixing	putting
affluent	rich
affray	fight
affraying	fighting
affrays	fights
aggregate	collect
aggregated	collected
aggregates	collects
aggregating	collecting
aggressive	strong
agitate	shake
agitated	shook
agitates	shakes
agitating	shaking
aircraft	plane
aircraft's	plane's
aircrafts	planes
allay	quiet
allayed	quieted
allaying	quieting
allays	quiets
allocate	give
allotment	share
allotments	shares
allow	let
alter	change
alteration	change
alterations	changes
amalgamate	unite
amalgamated	united
amalgamates	unites
amalgamating	uniting
amendment	change
amendments	changes
amicable	friendly
amusement	fun
annihilate	kill
annihilated	killed
annihilates	kills
annihilating	killing
annually	yearly
antagonist	enemy
antagonist's	enemy's
antagonists	enemies
anterior	front
anxieties	fears
anxiety	fear
aperture	hole
apertures	holes
apparent	clear
apparently	clearly
apparition	ghost
apparition's	ghost's
apparitions	ghosts
appear	seem
appeared	seemed
appearing	seeming
appears	seems
appellation	name
appellations	names
append	add
appended	added
appending	adding
appends	adds
appoint	name
appointed	named
appointing	naming
appoints	names
appreciable	many
apprise	tell
approximate	about
approximately	about
aqueous	watery
arduous	hard
arduously	hardly
aroma	smell
aroma's	smell's
aromas	smells
arrogant	cocky
ascend	climb
ascended	climbed
ascending	climbing
ascends	climbs
ascertain	learn
ascertained	learned
ascertaining	learning
ascertains	learns
aspiration	longing
aspirations	dreams
assassinate	kill
assassinated	killed
assassinates	kills
assassinating	killing
assassination	killing
assay	try
assayed	tried
assaying	trying
assays	tries
assemble	gather
assembled	gathered
assembles	gathers
assembling	gathering
assembly	meeting
assent	agree
assented	agreed
assenting	agreeing
assents	agrees
assist	help
assistance	help
assistant	helper
assistant's	helper's
assistants	helpers
assisted	helped
assisting	helping
assists	helps
assuredly	surely
attain	reach
attained	reached
attaining	reaching
attains	reaches
attempt	try
attempted	tried
attempting	trying
attempts	tries
