abatement	decrease
abbreviate	shorten
abbreviated	shortened
abbreviates	shortens
abbreviating	shortening
abdicate	give up, resign, quit
abdicated	gave up, resigned, quit
abdicates	gives up, resigns, quits
abdicating	giving up, resigning, quitting
abdomen	belly, stomach
abduct	kidnap
abducted	kidnapped
abducting	kidnapping
abducts	kidnaps
abeyance	waiting
abhor	hate
abhorred	hated
abhorrence	hatred
abhorrent	disgusting, hateful
abhorring	hating
abhors	hates
abilities	skills
ability	skill
abjure	renounce
abjured	renounced
abjures	renounces
abjuring	renouncing
ablution	cleansing
abolish	get rid of, do away with
abolished	got rid of, did away with
abolishes	gets rid of, does away with
abolishing	getting rid of, doing away with
abominable	disgusting, hateful
abrasion	scratch
abrasions	scratches
abridge	shorten
abridged	shortened
abridges	shortens
abridging	shortening
abrogate	cancel, do away with, get rid of
abrogated	canceled, did away with, got rid of
abrogates	cancels, does away with, gets rid of
abrogating	canceling, doing away with, getting rid of
abscond	go off and hide, hide away
absconded	went off and hid, hid away
absconding	going off and hiding, hiding away
absconds	goes off and hides, hides away
absolutely	wholly
abundant	enough
academies	schools
academy	school
academy's	school's
accede	give in
acceded	gave in
accedes	gives in
acceding	giving in
accelerate	hasten, quicken
accelerated	hastened, quickened
accelerates	hastens, quickens
accelerating	hastening, quickening
acceptable	welcome
accessible	easy to reach
accommodate	adjust, adapt, fit
accommodated	adjusted, adapted, fitted
accommodates	adjusts, adapts, fits
accommodating	adjusting, adapting, fitting
accompanied	went with
accompanies	goes with
accompany	go with
accompanying	going with
accomplish	do, carry out
accomplishable	doable
accomplished	did, done
accomplishes	does carries out
accomplishing	doing, carrying out
accorded	given
accordingly	so, just so
accrual	addition, gain
accruals	additions, gains
accrue	add, gain
accrued	added, gained
accruement	addition, gain
accrues	adds, gains
accruing	adding, gaining
accumulate	collect
accumulated	collected
accumulates	collects
accumulating	collecting
accuracy	correctness, exactness
accurate	correct, exact
accurately	correctly, exactly
accusation	charge
accusations	charges
achievable	doable, makeable
achieve	do, make
achieved	did, mad
achieves	does, makes
achieving	doing, making
acknowledge	admit, express thanks for
acknowledged	admitted, expressed thanks for
acknowledges	admits, expresses thanks for
acknowledging	admitting, expressing thanks for
acquaintance	friend
acquaintance's	friend's
acquaintances	friends
acquiesce	agree, accept
acquiesced	agreed, accepted
acquiesces	agrees, accepts
acquiescing	agreeing, accepting
acquire	gain, get
acquired	gained, got
acquires	gains, gets
acquiring	gaining, getting
acquit	set free
acquits	sets free
acquitted	set free
acquitting	setting free
acrimonious	sharp, bitter
acrimoniously	bitterly
actual	real
actually	really
actuate	put into action, move
actuated	put into action, moved
actuates	puts into action, moves
actuating	putting into action, moving
adamant	hard, inflexible, rigid
adapt	make fit
adapted	made fit
adapting	making fit
adapts	makes fit
additional	added, more, other, extra
additionally	added, more
adequate	enough
adhere	stick to, follow
adhered	stuck to, followed
adheres	sticks to, follows
adhering	sticking to, following
adjacent	next to
adjustment	settlement
adjustments	settlements
administer	manage
administered	managed
administering	managing
administers	manages
admonish	warn
admonished	warned
admonishes	warns
admonishing	warning
admonition	warning
adroit	skillful
advantage	plus
advantageous	helpful
advantageously	helpfully
advantages	pluses
adversaries	enemies
adversary	enemy
adversary's	enemy's
adverse	harmful
adversities	distresses, difficulties
adversity	distress, difficulty
advise	recommend, tell
advised	told, recommended
advises	tells, recommends
advising	telling, recommending
advocate	speak for
advocated	spoke for
advocates	speaks for
advocating	speaking for
affable	pleasant
affectionate	loving
affectionately	lovingly
affix	put, stick
affixed	put, stuck
affixes	puts, sticks
affixing	putting, sticking
affluent	rich
affray	fight
affrayed	fought
affraying	fighting
affrays	fights
aggrandize	make greater
aggrandized	made greater
aggrandizes	makes greater
aggrandizing	making greater
aggravate	provoke
aggravated	provoked
aggravates	provokes
aggravating	provoking
aggregate	collect
aggregated	collected
aggregates	collects
aggregating	collecting
aggressive	forward, strong, attacking
aggressively	forwardly
agitate	shake, stir, excite
agitated	shook, stirred, excited
agitates	shakes, stirs, excites
agitating	shaking, stirring, exciting
aircraft	plane
aircraft's	plane's
aircrafts	planes
alacrity	speed
alienate	turn against
alienated	turned against
alienates	turns against
alienating	turning against
allay	quiet
allayed	quieted
allaying	quieting
allays	quiets
allegiance	loyalty
allegiances	loyalties
alleviate	make easier
alleviated	made easier
alleviates	makes easier
alleviating	making easier
allocate	give
allotment	share
allotments	shares
allow	let
allude	refer
alluded	referred
alludes	refers
alluding	referring
alter	change
alteration	change
alterations	changes
altercation	dispute
altercations	disputes
alternate	take turns (between), every other (adj.)
alternated	took turns (between)
alternates	takes turns (between)
alternating	taking turns (between)
alternative	choice
alternatives	choices
amalgamate	combine, blend, unite
amalgamated	combined, blended, united
amalgamates	combines, blends, unites
amalgamating	combining, blending, uniting
ambiguous	unclear
ameliorate	improve
ameliorated	improved
ameliorates	improves
ameliorating	improving
amendment	change
amendments	changes
amicable	friendly
amidst	amid
amongst	among
amorphous	shapeless
amplified	made greater
amplifies	makes greater
amplify	make greater
amplifying	making greater
amputate	cut off
amputated	cut off
amputates	cuts off
amputating	cutting off
amusement	fun
analysis	review, breakdown, exam, study
analyze	review, study
analyzed	reviewed, studied
analyzes	reviews, studies
analyzing	reviewing, studying
anathema	curse, accursed
animadversion	blame
animosity	hatred
annihilate	kill, destroy
annihilated	killed, destroyed
annihilates	kills, destroys
annihilating	killing, destroying
annihilation	destruction
annually	yearly
anomalous	abnormal
anomalously	abnormally
anonymous	nameless
anonymously	namelessly
antagonist	enemy
antagonist's	enemy's
antagonists	enemies
anterior	front
anticipatable	expectable
anticipate	expect, await
anticipated	expected, awaited
anticipates	expects, awaits
anticipating	expecting, awaiting
anticipation	expectation
antipathy	dislike
antiquated	out-of-date
antithesis	opposite
anxieties	fears
anxiety	fear
apathetic	indifferent
aperture	gap, hole
apertures	gaps, holes
apex	tip
apexes	tips
apparent	clear, plain
apparently	clearly, plainly
apparition	ghost
apparition's	ghost's
apparitions	ghosts
appear	seem, come
appeared	seemed, came
appearing	seeming, coming
appears	seems, comes
appease	calm
appeased	calmed
appeases	calms
appeasing	calming
appellation	name
appellations	names
append	add
appended	added
appending	adding
appends	adds
appliance	device
appliances	devices
appoint	name
appointed	named
appointing	naming
appoints	names
apportion	divide
apportioned	divided
apportioning	dividing
apportions	divides
appreciable	many
apprehend	seize
apprehended	seized
apprehending	seizing
apprehends	seizes
apprehensive	uneasy
apprehensively	uneasily
apprise	tell
approbation	praise
approbations	praises
appropriate	proper (adj.), set aside (verb)
appropriated	set aside
appropriately	properly
appropriates	sets aside
appropriating	setting aside
approval	praise, consent
approximate	about
approximately	about
aqueous	watery
arbiter	judge, umpire
arbiters	judges, umpires
arduous	hard
arduously	hardly
armistice	truce
aroma	smell
aroma's	smell's
aromas	smells
arrogant	cocky
artifice	craft
artifices	crafts
ascend	climb
ascended	climbed
ascending	climbing, upward
ascends	climbs
ascertain	find out, learn
ascertained	found out, learned
ascertaining	finding out, learning
ascertains	finds out, learns
aspersion	slander
asphyxiate	suffocate
asphyxiated	suffocated
asphyxiates	suffocates
asphyxiating	suffocating
aspiration	longing, dream, goal
aspirations	longings, dreams, goals
assassinate	kill
assassinated	killed
assassinates	kills
assassinating	killing
assassination	killing
assassination's	killing's
assassinations	killings
assay	try, test
assayed	tried, tested
assaying	trying, testing
assays	tries, tests
assemble	gather
assembled	gathered
assembles	gathers
assemblies	meetings
assembling	gathering
assembly	meeting
assent	agree
assented	agreed
assenting	agreeing
assents	agrees
assimilate	absorb, digest
assimilated	absorbed, digested
assimilates	absorbs, digests
assimilating	absorbing, digesting
assist	aid, help
assistance	help
assistant	helper
assistant's	helper's
assistants	helpers
assisted	aided, helped
assisting	aiding, helping
assists	aids, helps
assuredly	surely
astute	shrewd
astutely	shrewdly
atrophied	wasted away
atrophies	wastes away
atrophy	waste away
atrophying	wasting away
attain	reach, gain
attained	reached, gained
attaining	reaching, gaining
attains	reaches, gains
attempt	try
attempted	tried
attempting	trying
attempts	tries
attire	dress
attractive	pleasing
audacious	bold
audaciously	boldly
augmentation	increase
augmentations	increases
austere	harsh, stern
authentic	real
authentically	really
authorize	give power
authorized	gave power
authorizes	gives power
authorizing	giving power
automaton	machine
automaton's	machine's
automatons	machines
automobile	car
automobile's	car's
automobiles	cars
autonomous	independent
autonomously	independently
available	offered, ready
avarice	greed
avaricious	greedy
avariciously	greedily
avenue	road
avenue's	road's
avenues	roads
aversion	fear, dislike
aversions	dislikes
axiom	truth, rule
axiom's	truth's, rule's
axioms	truths, rules
banal	trite
barbarous	coarse, brutal
bargain	deal
bargains	deals
bashful	shy
bashfully	shyly
beatitude	blessing
beatitudes	blessings
behemoth	giant
behemoth's	giant's
behemoths	giants
beleaguer	besiege
beleaguered	besieged
beleaguering	besieging
beleaguers	besieges
bellicose	warlike
benediction	blessing
benedictions	blessings
beneficence	kindness
beneficial	helpful
beneficiaries	persons helped
beneficiary	person helped
benefit	help
benefited	helped
benefits	helps
benefitted	helped
benefitting	helping
benevolent	kindly
benevolently	kindly
benignant	kindly
bereavement	loss
beseech	beg
beseeched	begged
beseeches	begs
beseeching	begging
besmirch	soil
besmirched	soiled
besmirches	soils
besmirching	soiling
bespeak	order, reserve
bespeaking	ordering, reserving
bespeaks	orders, reserves
bespoke	ordered, reserved
bestow	give
bestowed	gave
bestowing	giving
bestows	gives
betrothed	engaged
bewilder	confuse
bewildered	confused
bewildering	confusing
bewilders	confuses
biannual	twice a year
biannually	twice a year
bilateral	two-sided
bizarre	odd, queer
bizarrely	oddly
boulevard	road
boulevard's	road's
boulevards	roads
buccaneer	pirate
buccaneer's	pirate's
buccaneers	pirates
burglar	robber
burglar's	robber's
burglars	robbers
cadence	rhythm
caitiff	coward
caitiffs	cowards
cajole	coax
cajoled	coaxed
cajolery	coaxing
cajoles	coaxes
cajoling	coaxing
calculate	figure
calumniate	slander
calumniated	slandered
calumniates	slanders
calumniating	slandering
capabilities	abilities
capability	ability
capability's	ability's
capable	able
capacities	abilities, powers, positions
capacity	ability, power, position
captivate	charm
captivated	charmed
captivates	charms
captivating	charming
carboniferous	coal-bearing
carnivorous	flesh-eating
cartilage	gristle
catalog	list
cataloged	listed
cataloging	listing
catalogs	lists
catalogue	list
catalogued	listed
catalogues	lists
cataloguing	listing
catechism	set of questions
categories	classes, groups
categorisation	grouping
categorisation's	grouping's
categorisations	groupings
categorise	class, group
categorised	classed, grouped
categorises	classes, groups
categorising	classing, grouping
categorization	grouping
categorization's	grouping's
categorizations	groupings
categorize	class, group
categorized	classed, grouped
categorizes	classes, groups
categorizing	classing, grouping
category	class, group
caveat	warning
cease	stop
censure	blame
censured	blamed
censures	blames
censuring	blaming
certainly	surely
cessation	stop, pause
cessations	stops, pauses
characteristic	trait
characteristics	traits
characterize	describe
characterized	described
characterizes	describes
characterizing	describing
charlatan	quack
charlatans	quacks
chicanery	trickery
chimerical	unreal, fantastic
chivalrous	gallant
chivalrously	gallantly
circuitous	roundabout
circumspect	careful
circumspectly	carefully
circumvent	get around, avoid
circumvented	got around, avoided
