abeyance	waiting
abhor	hate
abhorred	hated
abhorring	hating
abhors	hates
abrasion	scratch
abrasions	scratches
abundant	enough
academies	schools
academy	school
academy's	school's
accomplish	do
accomplished	did
accordingly	so
accrue	add
accrued	added
accrues	adds
accruing	adding
accurate	exact
achieve	do
achieved	did
achieves	does
achieving	making
acquaintance	friend
acquaintance's	friend's
acquaintances	friends
acquire	get
acquired	got
acquires	gets
acquiring	getting
actual	real
actually	really
actuate	move
actuated	moved
actuates	moves
actuating	moving
adamant	hard
additional	added
additionally	added
adequate	enough
adhere	follow
adhered	followed
adheres	follows
adhering	following
adversaries	enemies
adversary	enemy
adversary's	enemy's
advise	tell
advised	told
advises	tells
advising	telling
affable	pleasant
affectionate	loving
affix	put
affixed	put
affixes	puts
affixing	putting
affluent	rich
affray	fight
affrays	fights
aggressive	strong
agitate	shake
agitated	shook
agitates	shakes
agitating	shaking
allay	quiet
allayed	quieted
allaying	quieting
allays	quiets
allocate	give
allow	let
alter	change
alteration	change
alterations	changes
amendment	change
amendments	changes
amongst	among
amusement	fun
annihilate	kill
annihilated	killed
annihilates	kills
annihilating	killing
annually	yearly
antagonist	enemy
antagonist's	enemy's
antagonists	enemies
anterior	front
aperture	hole
apertures	holes
apex	tip
apexes	tips
appear	seem
appeared	came
appearing	coming
appears	seems
appellation	name
appellations	names
append	add
appended	added
appending	adding
appends	adds
appoint	name
appointed	named
appointing	naming
appoints	names
appreciable	many
apprise	tell
approximate	about
approximately	about
arduous	hard
aroma	smell
aroma's	smell's
aromas	smells
ascend	climb
ascended	climbed
ascending	climbing
ascends	climbs
ascertain	learn
ascertained	learned
ascertaining	learning
ascertains	learns
aspiration	dream
aspirations	dreams
assassinate	kill
assassinated	killed
assassinates	kills
assassinating	killing
assassination	killing
assay	try
assayed	tried
assaying	trying
assays	tries
assemblies	meetings
assembly	meeting
assist	help
assistance	help
assisted	helped
assisting	helping
assists	helps
assuredly	surely
attain	reach
attained	reached
attaining	reaching
attains	reaches
attempt	try
attempted	tried
attempting	trying
attempts	tries
attire	dress
attractive	pleasing
authentic	real
authentically	really
automaton	machine
automaton's	machine's
automatons	machines
automobile	car
automobile's	car's
automobiles	cars
available	offered
avenue	road
avenue's	road's
avenues	roads
axiom	rule
axiom's	rule's
axioms	rules
behemoth	giant
behemoth's	giant's
behemoths	giants
benefit	help
benefited	helped
benefits	helps
benefitted	helped
benefitting	helping
bespeak	order
bespeaking	ordering
bespeaks	orders
bespoke	ordered
bestow	give
bestowed	gave
bestows	gives
bizarre	queer
boulevard	road
